length_up,length_low,length_center,return_up,return_low,return_center
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,14,17.0,-4,-20,-12.0
20,3,11.5,7,-20,-6.5
20,5,12.5,5,-20,-7.5
19,2,10.5,8,-9,-0.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,3,11.5,7,-20,-6.5
20,3,11.5,7,-20,-6.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,18,19.0,-18,-20,-19.0
20,12,16.0,-2,-20,-11.0
20,4,12.0,6,-20,-7.0
20,1,10.5,9,-20,-5.5
20,5,12.5,5,-20,-7.5
18,3,10.5,7,-8,-0.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,19,19.5,-9,-20,-14.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,2,11.0,8,-20,-6.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,17,18.5,-7,-20,-13.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,15,17.5,-15,-20,-17.5
20,8,14.0,2,-20,-9.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,18,19.0,-8,-20,-14.0
20,20,20.0,-20,-20,-20.0
15,1,8.0,9,-5,2.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,1,10.5,9,-20,-5.5
20,18,19.0,-8,-20,-14.0
20,20,20.0,-20,-20,-20.0
20,5,12.5,5,-20,-7.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,12,16.0,-12,-20,-16.0
20,15,17.5,-5,-20,-12.5
20,20,20.0,-20,-20,-20.0
20,12,16.0,-2,-20,-11.0
20,13,16.5,-3,-20,-11.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,13,16.5,-3,-20,-11.5
20,20,20.0,-20,-20,-20.0
20,1,10.5,-1,-20,-10.5
20,20,20.0,-20,-20,-20.0
20,2,11.0,-2,-20,-11.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,2,11.0,8,-20,-6.0
20,15,17.5,-15,-20,-17.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,17,18.5,-7,-20,-13.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,1,10.5,9,-20,-5.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,2,11.0,8,-20,-6.0
20,3,11.5,7,-20,-6.5
15,3,9.0,7,-5,1.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,12,16.0,-2,-20,-11.0
20,14,17.0,-4,-20,-12.0
20,14,17.0,-4,-20,-12.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
7,4,5.5,6,3,4.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,11,15.5,-1,-20,-10.5
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,12,16.0,-2,-20,-11.0
20,7,13.5,3,-20,-8.5
20,20,20.0,-20,-20,-20.0
10,3,6.5,7,-10,-1.5
20,20,20.0,-20,-20,-20.0
20,11,15.5,-1,-20,-10.5
20,4,12.0,6,-20,-7.0
20,20,20.0,-20,-20,-20.0
20,6,13.0,4,-20,-8.0
20,20,20.0,-20,-20,-20.0
20,6,13.0,-6,-20,-13.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,5,12.5,5,-20,-7.5
20,20,20.0,-20,-20,-20.0
20,10,15.0,0,-20,-10.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
13,9,11.0,1,-3,-1.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
20,20,20.0,-20,-20,-20.0
13,2,7.5,8,-3,2.5
20,14,17.0,-4,-20,-12.0
10,5,7.5,0,-5,-2.5
20,16,18.0,-6,-20,-13.0
