episodic_return,episode_length,total_steps
0,0,0
-20,20,20
-19,20,40
-1,17,57
-19,20,77
-20,20,97
-20,20,117
-20,20,137
-20,20,157
-19,20,177
-20,20,197
-20,20,217
11,1,218
11,1,219
-1,13,232
-20,20,252
-19,20,272
7,6,278
-20,20,298
-2,15,313
-19,20,333
-19,20,353
-20,20,373
-19,20,393
11,1,394
-20,20,414
-19,20,434
-20,20,454
-20,20,474
-19,20,494
-19,20,514
-19,20,534
-18,20,554
-20,20,574
-18,20,594
-20,20,614
-19,20,634
-19,20,654
-18,20,674
11,1,675
-20,20,695
-20,20,715
-19,20,735
-20,20,755
-20,20,775
-20,20,795
-20,20,815
-18,20,835
-20,20,855
-19,20,875
-20,20,895
-18,20,915
-18,20,935
-20,20,955
-19,20,975
-20,20,995
-20,20,1015
11,3,1018
-20,20,1038
-19,20,1058
-20,20,1078
-20,20,1098
-20,20,1118
-20,20,1138
-17,20,1158
-19,20,1178
11,1,1179
-20,20,1199
-19,20,1219
-20,20,1239
-20,20,1259
-20,20,1279
-20,20,1299
-20,20,1319
-20,20,1339
-19,20,1359
-19,20,1379
0,19,1398
-20,20,1418
-20,20,1438
-19,20,1458
-20,20,1478
-19,20,1498
11,1,1499
-20,20,1519
-19,20,1539
11,1,1540
-18,20,1560
-20,20,1580
-20,20,1600
-20,20,1620
-20,20,1640
-20,20,1660
-20,20,1680
-20,20,1700
10,2,1702
-18,20,1722
-20,20,1742
-20,20,1762
-20,20,1782
11,1,1783
-20,20,1803
-20,20,1823
10,3,1826
-20,20,1846
-20,20,1866
-20,20,1886
9,3,1889
-16,20,1909
-20,20,1929
-19,20,1949
11,1,1950
-19,20,1970
-19,20,1990
11,1,1991
0,17,2008
-20,20,2028
-19,20,2048
-20,20,2068
-20,20,2088
-19,20,2108
-20,20,2128
-17,20,2148
-20,20,2168
-20,20,2188
-20,20,2208
-17,20,2228
11,1,2229
-20,20,2249
-18,20,2269
-19,20,2289
6,7,2296
8,4,2300
5,8,2308
11,1,2309
4,8,2317
6,7,2324
-19,20,2344
-20,20,2364
-19,20,2384
11,3,2387
-18,20,2407
4,10,2417
8,5,2422
-18,20,2442
10,3,2445
-20,20,2465
-18,20,2485
-19,20,2505
-19,20,2525
-20,20,2545
-18,20,2565
-18,20,2585
-17,20,2605
11,1,2606
-17,20,2626
-19,20,2646
11,1,2647
-19,20,2667
-14,20,2687
-19,20,2707
-19,20,2727
-19,20,2747
-18,20,2767
-19,20,2787
-19,20,2807
-16,20,2827
-19,20,2847
-17,20,2867
-19,20,2887
11,1,2888
11,1,2889
11,1,2890
11,2,2892
-20,20,2912
-19,20,2932
11,1,2933
-19,20,2953
-20,20,2973
-19,20,2993
-20,20,3013
-19,20,3033
-17,20,3053
-18,20,3073
-19,20,3093
-19,20,3113
-19,20,3133
-19,20,3153
-19,20,3173
11,1,3174
-19,20,3194
-17,20,3214
-19,20,3234
8,5,3239
-19,20,3259
-15,20,3279
-20,20,3299
-17,20,3319
-20,20,3339
-20,20,3359
-18,20,3379
-18,20,3399
10,3,3402
-20,20,3422
-20,20,3442
-20,20,3462
-18,20,3482
-19,20,3502
9,3,3505
-20,20,3525
-18,20,3545
-17,20,3565
-20,20,3585
10,3,3588
-20,20,3608
-18,20,3628
-20,20,3648
-18,20,3668
-20,20,3688
-20,20,3708
9,3,3711
-19,20,3731
-18,20,3751
-19,20,3771
-19,20,3791
-19,20,3811
-19,20,3831
11,1,3832
-20,20,3852
-20,20,3872
-17,20,3892
9,3,3895
-19,20,3915
-20,20,3935
-20,20,3955
-19,20,3975
-19,20,3995
-20,20,4015
9,3,4018
-18,20,4038
11,1,4039
-20,20,4059
9,3,4062
-19,20,4082
-20,20,4102
-19,20,4122
-19,20,4142
-19,20,4162
-20,20,4182
-19,20,4202
-19,20,4222
-19,20,4242
-20,20,4262
-19,20,4282
-19,20,4302
-20,20,4322
-19,20,4342
-20,20,4362
-19,20,4382
-19,20,4402
-19,20,4422
9,5,4427
11,1,4428
11,1,4429
-20,20,4449
-20,20,4469
11,1,4470
-20,20,4490
-20,20,4510
-20,20,4530
-18,20,4550
11,1,4551
-20,20,4571
-20,20,4591
-19,20,4611
-19,20,4631
-17,20,4651
11,1,4652
-20,20,4672
-18,20,4692
-20,20,4712
11,1,4713
-19,20,4733
-20,20,4753
-19,20,4773
-18,20,4793
-18,20,4813
-19,20,4833
11,1,4834
-20,20,4854
-18,20,4874
11,1,4875
-17,20,4895
-20,20,4915
11,1,4916
-19,20,4936
8,5,4941
-17,20,4961
-20,20,4981
-19,20,5001
11,1,5002
-20,20,5022
-20,20,5042
-19,20,5062
-20,20,5082
-19,20,5102
-20,20,5122
10,2,5124
-20,20,5144
11,1,5145
8,4,5149
-19,20,5169
7,6,5175
-19,20,5195
11,1,5196
-20,20,5216
10,3,5219
9,3,5222
11,1,5223
-18,20,5243
-18,20,5263
-20,20,5283
-19,20,5303
-19,20,5323
-16,20,5343
-19,20,5363
-19,20,5383
-17,20,5403
-19,20,5423
-20,20,5443
-20,20,5463
-19,20,5483
-20,20,5503
-20,20,5523
-20,20,5543
-19,20,5563
6,7,5570
-17,20,5590
-20,20,5610
10,3,5613
-19,20,5633
-19,20,5653
-18,20,5673
-20,20,5693
10,3,5696
-19,20,5716
-20,20,5736
-17,20,5756
-20,20,5776
-20,20,5796
-17,20,5816
-19,20,5836
-18,20,5856
-20,20,5876
11,1,5877
-16,20,5897
11,1,5898
-20,20,5918
-19,20,5938
9,3,5941
-20,20,5961
11,1,5962
-20,20,5982
-19,20,6002
-20,20,6022
9,3,6025
-18,20,6045
-17,20,6065
-20,20,6085
-19,20,6105
10,2,6107
10,2,6109
-19,20,6129
-19,20,6149
-19,20,6169
-17,20,6189
11,1,6190
11,1,6191
-18,20,6211
-17,20,6231
11,1,6232
-18,20,6252
-16,20,6272
-19,20,6292
-19,20,6312
-18,20,6332
11,1,6333
-19,20,6353
-19,20,6373
-20,20,6393
10,3,6396
-19,20,6416
-16,20,6436
-20,20,6456
-19,20,6476
-18,20,6496
10,3,6499
-19,20,6519
-20,20,6539
-18,20,6559
-16,20,6579
-20,20,6599
-19,20,6619
11,1,6620
-18,20,6640
-16,20,6660
-20,20,6680
-20,20,6700
11,1,6701
-20,20,6721
10,3,6724
-20,20,6744
-19,20,6764
-19,20,6784
-18,20,6804
-20,20,6824
11,1,6825
-20,20,6845
-19,20,6865
-20,20,6885
-20,20,6905
-19,20,6925
11,1,6926
-18,20,6946
-19,20,6966
-18,20,6986
-19,20,7006
-16,20,7026
11,1,7027
-19,20,7047
-16,20,7067
11,3,7070
-19,20,7090
11,1,7091
-17,20,7111
-20,20,7131
10,3,7134
-20,20,7154
11,1,7155
11,1,7156
11,1,7157
-19,20,7177
11,3,7180
